DATASET_SHORT,KEYWORD,probability,DATASET_LONG,DATASET_NODE_ID,KEYWORD_NODE_ID
SBUV2N17L3zm,aerosols,0.99,SBUV2/NOAA-17 Ozone (O3) Profile and Total Column Ozone 1 Month Zonal Mean L3 Global 5.0 degree Latitude Zones V1 (SBUV2N17L3zm) at GES DISC,1521,1607
MAT3FVCHM,surface pressure,0.99,"tavg3_3d_chm_Fv: MERRA Chem 3D IAU States Cloud Precip, Time average 3-hourly  1.25 x 1.25 degree V5.2.0 (MAT3FVCHM) at GES DISC",1329,1668
MAT3FVCHM,atmospheric pressure,0.99,"tavg3_3d_chm_Fv: MERRA Chem 3D IAU States Cloud Precip, Time average 3-hourly  1.25 x 1.25 degree V5.2.0 (MAT3FVCHM) at GES DISC",1329,1665
MATUCPUDT,surface pressure,0.99,"tavgU_3d_udt_Cp: MERRA 3D IAU Tendency, Wind Components, Diurnal  1.25 x 1.25 degree V5.2.0 (MATUCPUDT) at GES DISC",1427,1668
MUSUMLSL2DGG,cloud properties,0.99,MUSTARD-UMLS Level 2 Standard Products V1 (MUSUMLSL2DGG) at GES DISC,1221,1686
MUSUMLSL2DGG,precipitation,0.99,MUSTARD-UMLS Level 2 Standard Products V1 (MUSUMLSL2DGG) at GES DISC,1221,1585
MATUCPUDT,atmospheric pressure,0.99,"tavgU_3d_udt_Cp: MERRA 3D IAU Tendency, Wind Components, Diurnal  1.25 x 1.25 degree V5.2.0 (MATUCPUDT) at GES DISC",1427,1665
AIRS,sea level pressure,0.99,Atmospheric Infrared Sounder,2171,1694
OMTO3_CPR,aerosols,0.99,OMI/Aura Level 2 Ozone (O3) Total Column 1-Orbit Subset and Collocated Swath along CloudSat track 200-km wide at 13x24 km2 resolution,1220,1607
M2T1NXOCN,geopotential height,0.99,"MERRA-2 tavg1_2d_ocn_Nx: 2d,1-Hourly,Time-Averaged,Single-Level,Assimilation,Ocean Surface Diagnostics 0.625 x 0.5 degree V5.12.4 (M2T1NXOCN) at GES DISC",1518,1705
AIRS,oceans,0.99,Atmospheric Infrared Sounder,2171,1692
SSM/I,oceans,0.99,Special Sensor Microwave/Imager,2152,1692
M2TMNPTDT,total precipitable water,0.99,"MERRA-2 tavgM_3d_tdt_Np: 3d,Monthly mean,Time-Averaged,Pressure-Level,Assimilation,Temperature Tendencies 0.625 x 0.5 degree V5.12.4 (M2TMNPTDT) at GES DISC",1517,1685
ATMS,cloud top temperature,0.99,Advanced Technology Microwave Sounder,2158,1689
SBUV2N09L3zm,aerosols,0.99,SBUV2/NOAA-9 Ozone (O3) Profile and Total Column Ozone 1 Month Zonal Mean L3 Global 5.0 degree Latitude Zones V1 (SBUV2N09L3zm) at GES DISC,1217,1607
ATMS,cloud top pressure,0.99,Advanced Technology Microwave Sounder,2158,1688
MATUCPTDT,surface pressure,0.99,"tavgU_3d_tdt_Cp: MERRA 3D IAU Tendency, Temperature, Diurnal  1.25 x 1.25 degree V5.2.0 (MATUCPTDT) at GES DISC",1323,1668
MATUCPTDT,atmospheric pressure,0.99,"tavgU_3d_tdt_Cp: MERRA 3D IAU Tendency, Temperature, Diurnal  1.25 x 1.25 degree V5.2.0 (MATUCPTDT) at GES DISC",1323,1665
M2I1NXLFO,upper air temperature,0.99,"MERRA-2 inst1_2d_lfo_Nx: 2d,1-Hourly,Instantaneous,Single-Level,Assimilation,Land Surface Forcings 0.625 x 0.5 degree V5.12.4 (M2I1NXLFO) at GES DISC",1510,1670
SNDRSNIML2CHTRETN,surface winds,0.99,"Sounder SIPS: Suomi NPP CrIMSS Level 2 CHART Normal Spectral Resolution: Atmosphere, cloud and surface geophysical state V1",1509,1749
