Collection,Title,Version,DOI,Dataset Progress,Level,Granularity,Granule Size,Format,Creation Date,Data Start Date,Data End Date,Mission/Project,Metadata Author,L2,L34RS,GeoTiff,Giovanni,AIRS L1L2,WCS,WMS,THREDDS,OPeNDAP,GDS,Worldview
S5P_L2__HCHO___HiR,Sentinel-5P TROPOMI Tropospheric Formaldehyde HCHO 1-Orbit L2 5.5km x 3.5km,1,10.5270/S5P-tjlxfd2,ACTIVE,2,101.5 minutes,697 MB per file,netCDF,2019-08-19T00:00:00.000Z,2019-08-06T02:41:41.000Z,2020-07-13T00:05:59.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__HCHO___HiR,Sentinel-5P TROPOMI Tropospheric Formaldehyde HCHO 1-Orbit L2 5.5km x 3.5km,2,10.5270/S5P-vg1i7t0,ACTIVE,2,101.5 minutes,697 MB per file,netCDF,2020-07-31T00:00:00.000Z,2020-07-13T00:49:04.000Z,,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__NO2___,Sentinel-5P TROPOMI Tropospheric NO2 1-Orbit L2 7km x 3.5km,1,10.5270/S5P-s4ljg54,ACTIVE,2,91.5 minutes,325 MB per file,netCDF,2018-08-23T00:00:00.000Z,2018-04-30T00:41:24.000Z,2019-08-06T01:58:34.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__NO2____HiR,Sentinel-5P TROPOMI Tropospheric NO2 1-Orbit L2 5.5km x 3.5km,1,10.5270/S5P-s4ljg54,ACTIVE,2,91.5 minutes,437 MB per file,netCDF,2019-08-19T00:00:00.000Z,2019-08-06T02:41:41.000Z,2021-07-01T18:23:22.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__NO2____HiR,Sentinel-5P TROPOMI Tropospheric NO2 1-Orbit L2 5.5km x 3.5km,2,10.5270/S5P-9bnp8q8,ACTIVE,2,91.5 minutes,437 MB per file,netCDF,2021-07-05T00:00:00.000Z,2018-04-30T00:41:24.000Z,,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__NP_BD3,Sentinel-5P TROPOMI SNPP VIIRS cloud product band 3 (UVIS detector) 1-Orbit L2 7km x 3.5km,1,10.5270/esa-91oxxtk,ACTIVE,2,101.5 minutes,325 MB per file,netCDF,2019-07-18T00:00:00.000Z,2018-04-30T00:41:24.000Z,2019-08-06T01:58:34.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__NP_BD3_HiR,Sentinel-5P TROPOMI SNPP VIIRS cloud product band 3 (UVIS detector) 1-Orbit L2 5.5km x 3.5km,1,10.5270/esa-91oxxtk,ACTIVE,2,101.5 minutes,416 MB per file,netCDF,2019-08-19T00:00:00.000Z,2018-04-30T00:00:00.000Z,,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__NP_BD6,Sentinel-5P TROPOMI SNPP VIIRS cloud product band 6 (NIR detector) 1-Orbit L2 7km x 3.5km,1,10.5270/esa-91oxxtk,ACTIVE,2,101.5 minutes,325 MB per file,netCDF,2019-07-18T00:00:00.000Z,2018-04-30T00:41:24.000Z,2019-08-06T01:58:34.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__NP_BD6_HiR,Sentinel-5P TROPOMI SNPP VIIRS cloud product band 6 (NIR detector) 1-Orbit L2 5.5km x 3.5km,1,10.5270/esa-91oxxtk,ACTIVE,2,101.5 minutes,414 MB per file,netCDF,2019-08-19T00:00:00.000Z,2018-04-30T00:00:00.000Z,,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__NP_BD7,Sentinel-5P TROPOMI SNPP VIIRS cloud product band 7 (SWIR detector) 1-Orbit L2 7km x 7km,1,10.5270/esa-91oxxtk,ACTIVE,2,101.5 minutes,155 MB per file,netCDF,2019-07-18T00:00:00.000Z,2018-04-30T00:41:24.000Z,2019-08-06T01:58:34.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
