Collection,Title,Version,DOI,Dataset Progress,Level,Granularity,Granule Size,Format,Creation Date,Data Start Date,Data End Date,Mission/Project,Metadata Author,L2,L34RS,GeoTiff,Giovanni,AIRS L1L2,WCS,WMS,THREDDS,OPeNDAP,GDS,Worldview
MAT3FVCHM,tavg3_3d_chm_Fv: MERRA Chem 3D IAU States Cloud Precip Time average 3-hourly V5.2.0,5.2.0,10.5067/T090IC50UTTO,COMPLETE,4,1 day,324.5 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MAT3FXCHM,tavg3_2d_chm_Fx: MERRA Chem 2D IAU Diagnostics Fluxes and Meteorology Time Average 3-hourly V5.2.0,5.2.0,10.5067/1GTO5H32Z7M1,COMPLETE,4,1 day,19 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MAT3NECHM,tavg3_3d_chm_Ne: MERRA Chem 3D IAU C-Grid Edge Mass Flux Time Average 3-Hourly V5.2.0,5.2.0,10.5067/WY64R563N9D8,COMPLETE,4,1 day,49 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MAT3NVCHM,tavg3_3d_chm_Nv: MERRA Chem 3D IAU C-Grid Edge Mass Flux Time Average 3-Hourly V5.2.0,5.2.0,10.5067/2KS2FY49J579,COMPLETE,4,1 day,883 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATMCPCLD,tavgM_3d_cld_Cp: MERRA 3D IAU Diagnostic Cloud Properties Monthly Mean V5.2.0,5.2.0,10.5067/ZCUTDLD0K5J5,COMPLETE,4,1 month,31 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATMCPMST,tavgM_3d_mst_Cp: MERRA 3D IAU Diagnostic Moist Physics Monthly Mean V5.2.0,5.2.0,10.5067/4M29ELQ8YCQ7,COMPLETE,4,1 month,25 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATMCPODT,tavgM_3d_odt_Cp: MERRA 3D IAU Tendency Ozone Monthly Mean V5.2.0,5.2.0,10.5067/L4R625MTJQMD,COMPLETE,4,1 month,26.50 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATMCPQDT,tavgM_3d_qdt_Cp: MERRA 3D IAU Tendency Specific Humidity Monthly Mean V5.2.0,5.2.0,10.5067/IKOB0OFBQSQZ,COMPLETE,4,1 month,46.5 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATMCPRAD,tavgM_3d_rad_Cp: MERRA 3D IAU Diagnostic Radiation Monthly Mean V5.2.0,5.2.0,10.5067/7SCF81BU67P5,COMPLETE,4,1 month,22.6 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATMCPTDT,tavgM_3d_tdt_Cp: MERRA 3D IAU Tendency Temperature Monthly Mean V5.2.0,5.2.0,10.5067/0ASY0WOAY6B7,COMPLETE,4,1 month,46 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATMCPTRB,tavgM_3d_trb_Cp: MERRA 3D IAU Diagnostic Turbulence Monthly Mean V5.2.0,5.2.0,10.5067/QA89B6E18FPD,COMPLETE,4,1 month,39 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATMCPUDT,tavgM_3d_udt_Cp: MERRA 3D IAU Tendency Wind Components Monthly Mean V5.2.0,5.2.0,10.5067/8T03TZ8Q2FUV,COMPLETE,4,1 month,55 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATMFXCHM,tavgM_2d_chm_Fx: MERRA Chem 2D IAU Diagnostics Fluxes and Meteorology Monthly Mean V5.2.0,5.2.0,10.5067/IYDN3LNZ63UE,COMPLETE,4,1 month,5.5 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATMNXFLX,tavgM_2d_flx_Nx: MERRA 2D IAU Diagnostic Surface Fluxes Monthly Mean V5.2.0,5.2.0,10.5067/JX8Q6J3NH5QD,COMPLETE,4,1 month,24 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATMNXINT,tavgM_2d_int_Nx: MERRA 2D IAU Diagnostic Vertical Integrals and Budget Terms Monthly Mean V5.2.0,5.2.0,10.5067/JBJDIWKAEU03,COMPLETE,4,1 month,64 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATMNXLND,tavgM_2d_lnd_Nx: MERRA 2D IAU Diagnostic Land Only States and Diagnostics Monthly Mean V5.2.0,5.2.0,10.5067/XOHTIIK0W9RK,COMPLETE,4,1 month,14 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATMNXOCN,tavgM_2d_ocn_Nx: MERRA 2D IAU Ocean Surface Diagnostic Monthly Mean V5.2.0,5.2.0,10.5067/LH0VEHYM7Y8Z,COMPLETE,4,1 month,7.6 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATMNXRAD,tavgM_2d_rad_Nx: MERRA 2D IAU Diagnostic Radiation Surface and TOA Monthly Mean V5.2.0,5.2.0,10.5067/6UX3EDUNVUFK,COMPLETE,4,1 month,19 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATMNXSLV,tavgM_2d_slv_Nx: MERRA 2D IAU Diagnostic Single Level Meteorology Monthly Mean V5.2.0,5.2.0,10.5067/W3UEUC5V7M9M,COMPLETE,4,1 month,24 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,L34RS,,,,,,,OPENDAP,GRADS SERVER GDS,
MATUCPCLD,tavgU_3d_cld_Cp: MERRA 3D IAU Diagnostic Cloud Properties Diurnal V5.2.0,5.2.0,10.5067/CNZM99S3RG7Z,COMPLETE,4,1 month,116 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,,,,,,,,OPENDAP,GRADS SERVER GDS,
MATUCPMST,tavgU_3d_mst_Cp: MERRA 3D IAU Diagnostic Moist Physics Diurnal V5.2.0,5.2.0,10.5067/Y2GBNRPNXAP9,COMPLETE,4,1 month,92 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,,,,,,,,OPENDAP,GRADS SERVER GDS,
MATUCPODT,tavgU_3d_odt_Cp: MERRA 3D IAU Tendency Ozone Diurnal V5.2.0,5.2.0,10.5067/0L7VCF36DL1R,COMPLETE,4,1 month,105 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,,,,,,,,OPENDAP,GRADS SERVER GDS,
MATUCPQDT,tavgU_3d_qdt_Cp: MERRA 3D IAU Tendency Specific Humidity Diurnal V5.2.0,5.2.0,10.5067/UZAIGK5VQY08,COMPLETE,4,1 month,189 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,,,,,,,,OPENDAP,GRADS SERVER GDS,
MATUCPRAD,tavgU_3d_rad_Cp: MERRA 3D IAU Diagnostic Radiation Diurnal V5.2.0,5.2.0,10.5067/LH1YI6ZWQ7US,COMPLETE,4,1 month,85 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,,,,,,,,OPENDAP,GRADS SERVER GDS,
MATUCPTDT,tavgU_3d_tdt_Cp: MERRA 3D IAU Tendency Temperature Diurnal V5.2.0,5.2.0,10.5067/MD8MXR7AT7SL,COMPLETE,4,1 month,191 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,,,,,,,,OPENDAP,GRADS SERVER GDS,
MATUCPTRB,tavgU_3d_trb_Cp: MERRA 3D IAU Diagnostic Turbulence Diurnal V5.2.0,5.2.0,10.5067/IQIC17GD3IBJ,COMPLETE,4,1 month,149 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,,,,,,,,OPENDAP,GRADS SERVER GDS,
MATUCPUDT,tavgU_3d_udt_Cp: MERRA 3D IAU Tendency Wind Components Diurnal V5.2.0,5.2.0,10.5067/G0OZII3GJUFO,COMPLETE,4,1 month,231 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,,,,,,,,OPENDAP,GRADS SERVER GDS,
MATUFXCHM,tavgU_2d_chm_Fx: MERRA Chem 2D IAU Diagnostics Fluxes and Meteorology Diurnal V5.2.0,5.2.0,10.5067/J0OQ0KN7139F,COMPLETE,4,1 month,20 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,,,,,,,,OPENDAP,GRADS SERVER GDS,
MATUNXFLX,tavgU_2d_flx_Nx: MERRA 2D IAU Diagnostic Surface Fluxes Diurnal V5.2.0,5.2.0,10.5067/HN9F4C3SHW5A,COMPLETE,4,1 month,268.5 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,,,,,,,,OPENDAP,GRADS SERVER GDS,
MATUNXINT,tavgU_2d_int_Nx: MERRA 2D IAU Diagnostic Vertical Integrals and Budget Terms Diurnal V5.2.0,5.2.0,10.5067/49IH37L9PTFR,COMPLETE,4,1 month,1515 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,,,,,,,,OPENDAP,GRADS SERVER GDS,
MATUNXLND,tavgU_2d_lnd_Nx: MERRA 2D IAU Diagnostic Land Only States and Diagnostics Diurnal V5.2.0,5.2.0,10.5067/8LXGGREWG0YF,COMPLETE,4,1 month,152 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,,,,,,,,OPENDAP,GRADS SERVER GDS,
MATUNXOCN,tavgM_2d_ocn_Nx: MERRA 2D IAU Ocean Surface Diagnostic Diurnal V5.2.0,5.2.0,10.5067/F9U8V5L6EYST,COMPLETE,4,1 month,85 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,,,,,,,,OPENDAP,GRADS SERVER GDS,
MATUNXRAD,tavgU_2d_rad_Nx: MERRA 2D IAU Diagnostic Radiation Surface and TOA Diurnal V5.2.0,5.2.0,10.5067/F992PMIHBH0G,COMPLETE,4,1 month,199 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,,,,,,,,OPENDAP,GRADS SERVER GDS,
MATUNXSLV,tavgU_2d_slv_Nx: MERRA 2D IAU Diagnostic Single Level Meteorology Diurnal V5.2.0,5.2.0,10.5067/OKP99VQR4C63,COMPLETE,4,1 month,278 MB per file,HDF-EOS,2008-07-23T00:00:00.000Z,1979-01-01T00:00:00.000Z,2016-02-29T23:59:59.999Z,MERRA,DANA OSTRENGA,,,,,,,,,OPENDAP,GRADS SERVER GDS,
MA_AIRS_AQUA_OBS,Gridded Monthly Time-Mean Observation (obs) Values V001,001,,COMPLETE,4,1 month,16.0 MB per file,HDF5,2011-06-01T00:00:00.000Z,2002-10-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AIRS_AQUA_OMA,Gridded Monthly Time-Mean Observation minus Analysis (oma) Values V001,001,,COMPLETE,4,1 month,16.0 MB per file,HDF5,2011-06-01T00:00:00.000Z,2002-10-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AIRS_AQUA_OMF,Gridded Monthly Time-Mean Observation minus Forecast (omf) Values V001,001,,COMPLETE,4,1 month,16.0 MB per file,HDF5,2011-06-01T00:00:00.000Z,2002-10-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUA_AQUA_OBS,Gridded Monthly Time-Mean Observation (obs) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2002-10-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUA_AQUA_OMA,Gridded Monthly Time-Mean Observation minus Analysis (oma) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2002-10-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUA_AQUA_OMF,Gridded Monthly Time-Mean Observation minus Forecast (omf) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2002-10-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUA_NOAA15_OBS,Gridded Monthly Time-Mean Observation (obs) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,1998-11-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUA_NOAA15_OMA,Gridded Monthly Time-Mean Observation minus Analysis (oma) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,1998-11-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUA_NOAA15_OMF,Gridded Monthly Time-Mean Observation minus Forecast (omf) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,1998-11-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUA_NOAA16_OBS,Gridded Monthly Time-Mean Observation (obs) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2001-01-01T00:00:00.000Z,2008-03-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUA_NOAA16_OMA,Gridded Monthly Time-Mean Observation minus Analysis (oma) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2001-01-01T00:00:00.000Z,2008-03-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUA_NOAA16_OMF,Gridded Monthly Time-Mean Observation minus Forecast (omf) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2001-01-01T00:00:00.000Z,2008-03-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUA_NOAA17_OBS,Gridded Monthly Time-Mean Observation (obs) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2002-08-01T00:00:00.000Z,2003-10-31T23:59:59.999Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUA_NOAA17_OMA,Gridded Monthly Time-Mean Observation minus Analysis (oma) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2002-08-01T00:00:00.000Z,2003-10-31T23:59:59.999Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUA_NOAA17_OMF,Gridded Monthly Time-Mean Observation minus Forecast (omf) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2002-08-01T00:00:00.000Z,2003-10-31T23:59:59.999Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUA_NOAA18_OBS,Gridded Monthly Time-Mean Observation (obs) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2005-11-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUA_NOAA18_OMA,Gridded Monthly Time-Mean Observation minus Analysis (oma) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2005-11-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUA_NOAA18_OMF,Gridded Monthly Time-Mean Observation minus Forecast (omf) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2005-11-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUB_NOAA15_OBS,Gridded Monthly Time-Mean Observation (obs) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,1998-11-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUB_NOAA15_OMA,Gridded Monthly Time-Mean Observation minus Analysis (oma) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,1998-11-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUB_NOAA15_OMF,Gridded Monthly Time-Mean Observation minus Forecast (omf) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,1998-11-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUB_NOAA16_OBS,Gridded Monthly Time-Mean Observation (obs) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2001-01-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUB_NOAA16_OMA,Gridded Monthly Time-Mean Observation minus Analysis (oma) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2001-01-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUB_NOAA16_OMF,Gridded Monthly Time-Mean Observation minus Forecast (omf) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2001-01-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUB_NOAA17_OBS,Gridded Monthly Time-Mean Observation (obs) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2002-08-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUB_NOAA17_OMA,Gridded Monthly Time-Mean Observation minus Analysis (oma) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2002-08-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_AMSUB_NOAA17_OMF,Gridded Monthly Time-Mean Observation minus Forecast (omf) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2002-08-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_CONV_OBS,Gridded 6 hours Time-Mean Observation (obs) Values V001,001,,COMPLETE,4,1 month,4 MB per file,HDF5,2011-06-01T00:00:00.000Z,1979-01-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_CONV_OMA,Gridded 6 hours Time-Mean Observation (obs) Values V001,001,,COMPLETE,4,1 month,4 MB per file,HDF5,2011-06-01T00:00:00.000Z,1979-01-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_CONV_OMF,Gridded 6 hours Time-Mean Observation (obs) Values V001,001,,COMPLETE,4,1 month,4 MB per file,HDF5,2011-06-01T00:00:00.000Z,1979-01-01T00:00:00.000Z,2009-12-31T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_HIRS2_AM_OBS,Gridded Monthly Time-Mean Observation (obs) Values V001,001,,COMPLETE,4,1 month,1.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2005-01-01T00:00:00.000Z,2006-09-30T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_HIRS2_AM_OMA,Gridded Monthly Time-Mean Observation minus Analysis (oma) Values V001,001,,COMPLETE,4,1 month,1.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2005-01-01T00:00:00.000Z,2006-09-30T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_HIRS2_AM_OMF,Gridded Monthly Time-Mean Observation minus Forecast (omf) Values V001,001,,COMPLETE,4,1 month,1.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,2005-01-01T00:00:00.000Z,2006-09-30T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_HIRS2_NOAA06_OBS,Gridded Monthly Time-Mean Observation (obs) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,1979-07-01T00:00:00.000Z,1983-04-30T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_HIRS2_NOAA06_OMA,Gridded Monthly Time-Mean Observation minus Analysis (oma) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,1979-07-01T00:00:00.000Z,1983-04-30T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_HIRS2_NOAA06_OMF,Gridded Monthly Time-Mean Observation minus Forecast (omf) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,1979-07-01T00:00:00.000Z,1983-04-30T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_HIRS2_NOAA07_OBS,Gridded Monthly Time-Mean Observation (obs) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,1981-09-01T00:00:00.000Z,1985-02-28T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
MA_HIRS2_NOAA07_OMA,Gridded Monthly Time-Mean Observation minus Analysis (oma) Values V001,001,,COMPLETE,4,1 month,0.76 MB per file,HDF5,2011-06-01T00:00:00.000Z,1981-09-01T00:00:00.000Z,1985-02-28T23:59:59.000Z,MERRA TIME-MEAN OBSERVATION DATA,DANA OSTRENGA,,,,,,,,,,,
